frame,tiempo,HOG_detecciones,HOG_tiempo,HAAR_detecciones,HAAR_tiempo,MTCNN_detecciones,MTCNN_tiempo
1,0.20078730583190918,1,0.04694199562072754,0,0.020392894744873047,1,0.18776392936706543
2,0.669248104095459,1,0.045311927795410156,0,0.014394998550415039,1,0.11555719375610352
3,0.9487881660461426,1,0.043587446212768555,0,0.014424562454223633,1,0.14072060585021973
4,1.2498266696929932,2,0.045496225357055664,0,0.01430511474609375,1,0.10650467872619629
5,1.5186810493469238,2,0.04847264289855957,0,0.01650381088256836,1,0.13577008247375488
6,1.824889898300171,3,0.0468292236328125,0,0.015134334564208984,1,0.10930418968200684
7,2.0985145568847656,3,0.049585819244384766,0,0.01537632942199707,1,0.12008857727050781
8,2.386259078979492,3,0.04509544372558594,0,0.01566624641418457,1,0.11839652061462402
9,2.7339048385620117,2,0.04476141929626465,0,0.01514124870300293,1,0.09959006309509277
10,2.9990200996398926,3,0.04407620429992676,0,0.014510154724121094,1,0.12580060958862305
11,3.2855043411254883,1,0.042661190032958984,0,0.01784372329711914,1,0.10972762107849121
12,3.558173894882202,3,0.04502153396606445,0,0.016058683395385742,1,0.1149601936340332
13,3.8364667892456055,1,0.05324912071228027,0,0.018916845321655273,1,0.10334348678588867
14,4.11709189414978,1,0.043595075607299805,0,0.01634812355041504,1,0.11521768569946289
15,4.395062208175659,2,0.04224658012390137,0,0.015475988388061523,1,0.11137247085571289
16,4.731289625167847,2,0.044176578521728516,0,0.016770124435424805,1,0.10192728042602539
17,4.996673107147217,2,0.04464244842529297,0,0.016061782836914062,1,0.11438512802124023
18,5.27428126335144,2,0.04204273223876953,0,0.01658487319946289,1,0.10794925689697266
19,5.547903537750244,2,0.04339408874511719,0,0.01648259162902832,1,0.11113524436950684
20,5.8211352825164795,2,0.042330265045166016,0,0.015438079833984375,0,0.10777401924133301
21,5.990181922912598,2,0.059365272521972656,0,0.015771865844726562,1,0.1115419864654541
22,6.279245615005493,2,0.04540538787841797,0,0.015980005264282227,0,0.10606026649475098
23,6.450082063674927,2,0.04836297035217285,0,0.016557693481445312,0,0.11697506904602051
24,6.636172533035278,2,0.07190370559692383,0,0.01654839515686035,1,0.10582137107849121
25,6.933606386184692,3,0.0455937385559082,0,0.015950918197631836,1,0.11289358139038086
26,7.2759904861450195,4,0.04511380195617676,0,0.019259214401245117,2,0.11284708976745605
27,7.782080173492432,1,0.05184650421142578,0,0.01610541343688965,1,0.11436796188354492
28,8.132929801940918,0,0.04287219047546387,0,0.016448497772216797,1,0.11209726333618164
29,8.471794843673706,1,0.04451942443847656,0,0.0165865421295166,1,0.11241722106933594
30,8.813817501068115,0,0.04631781578063965,0,0.016988515853881836,1,0.12435626983642578
31,9.103897333145142,1,0.04641366004943848,1,0.016422510147094727,1,0.1111001968383789
32,9.445090770721436,0,0.0429689884185791,0,0.016536951065063477,2,0.13159680366516113
33,9.967069625854492,0,0.04389357566833496,1,0.016120195388793945,1,0.11345243453979492
